;사용법
;name 텍스처셋트이름 텍스처이름1 텍스처이름2 타일행수
name old_엔테롤던전_01광산촌 old_Enterol_Dungeon_01MineField.tga Enterol_Dungeon_01MineField_Shadow.tga 3
name old_엔테롤던전_02동물굴 old_Enterol_Dungeon_02BeastDen.tga Enterol_Dungeon_02BeastDen_Shadow.tga 3
name old_엔테롤던전_03개미굴 old_Enterol_Dungeon_03AntCavern.tga Enterol_Dungeon_03AntCavern_Shadow.tga 3
name old_엔테롤던전_04엔테롤 old_Enterol_Dungeon_04EnterolMaze.tga Enterol_Dungeon_04EnterolMaze_Shadow.tga 4
name old_엔테롤던전_05지하실 old_Enterol_Dungeon_05Underground.tga Enterol_Dungeon_05Underground_Shadow.tga 3
name old_엔테롤던전_06연구소 old_Enterol_Dungeon_06Laboratory.tga Enterol_Dungeon_06Laboratory_Shadow.tga 4
name old_엔테롤던전_07메스타 old_Enterol_Dungeon_07mestaruin.tga Enterol_Dungeon_07mestaruin_Shadow.tga 16
name old_엔테롤던전_08톨엔 old_Enterol_Dungeon_08tolluenruin.tga Enterol_Dungeon_08tolluenruin_Shadow.tga 16
name old_엔테롤필드_01사막 old_Enterol_Field_01Desert.tga Enterol_Field_01Desert_Shadow.tga 13
name old_엔테롤필드_02산지 old_Enterol_Field_02Mountain.tga Enterol_Field_02Mountain_Shadow.tga 15
name old_엔테롤필드_03초원 old_Enterol_Field_03Grass.tga Enterol_Field_03Grass_Shadow.tga 14
name old_엔테롤필드_04황무지 old_Enterol_Field_04wilderness.tga Enterol_Field_04wilderness_Shadow.tga 14
name old_엔테롤타운_01벨슈로트 old_Enterol_Town_01Bellsyurot.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name old_엔테롤타운_02엔트란스 old_Enterol_Town_02Enterance.tga Enterol_Town_02Enterance_Shadow.tga 14
name old_엔테롤타운_03톨루엔 old_Enterol_Town_03Tolluen.tga Enterol_Town_03Tolluen_Shadow.tga 16
name old_엔테롤타운_04트렌돌 old_Enterol_Town_04Trendol.tga Enterol_Town_04Trendol_Shadow.tga 16

name old_메탈리카필드_01눈지형 old_Metallica_Field_01Snowy.tga Metallica_Field_01Snowy.tga_Shadow.tga 13
name old_메탈리카필드_02겨울산지 old_Metallica_Field_02SnowyWasteland.tga Metallica_Field_01Snowy.tga_Shadow.tga 12
name old_메탈리카필드_03겨울숲지 old_Metallica_Field_03SnowyForest.tga Metallica_Field_01Snowy.tga_Shadow.tga 11
name old_메탈리카필드_04철판지형 old_Metallica_Field_04Steel.tga Metallica_Field_01Snowy.tga_Shadow.tga 13
name old_메탈리카필드_05화산지형 old_Metallica_Field_05Volcano.tga Metallica_Field_01Snowy.tga_Shadow.tga 11
name old_메탈리카타운_01스틸라니아 old_Metallica_town_01steelania.tga Metallica_Field_01Snowy.tga_Shadow.tga 12
name old_메탈리카타운_02쉽랜드 old_Metallica_town_02shipland.tga Metallica_Field_01Snowy.tga_Shadow.tga 12
name old_메탈리카타운_03비티레이어타운 old_Metallica_town_03bitlayertowertown.tga Metallica_Field_01Snowy.tga_Shadow.tga 12
;name old_메탈리카타운_04케타스콜라 old_Metallica_town_04Getaschola.tga Metallica_Field_01Snowy.tga_Shadow.tga 12
;name old_메탈리카타운_05정크시티 old_Metallica_town_05Junkcity.tga Metallica_Field_01Snowy.tga_Shadow.tga 12

name 던전_01광산촌 Enterol_Dungeon_01MineField.tga Enterol_Dungeon_01MineField_Shadow.tga 3
name 던전_02동물굴 Enterol_Dungeon_02BeastDen.tga Enterol_Dungeon_02BeastDen_Shadow.tga 3
name 던전_03개미굴 Enterol_Dungeon_03AntCavern.tga Enterol_Dungeon_03AntCavern_Shadow.tga 3
name 던전_04엔테롤 Enterol_Dungeon_04EnterolMaze.tga Enterol_Dungeon_04EnterolMaze_Shadow.tga 4
name 던전_05지하실 Enterol_Dungeon_05Underground.tga Enterol_Dungeon_05Underground_Shadow.tga 3
name 던전_06연구소 Enterol_Dungeon_06Laboratory.tga Enterol_Dungeon_06Laboratory_Shadow.tga 4
name 던전_07메스타 Enterol_Dungeon_07mestaruin.tga Enterol_Dungeon_07mestaruin_Shadow.tga 16
name 던전_08톨엔 Enterol_Dungeon_08tolluenruin.tga Enterol_Dungeon_08tolluenruin_Shadow.tga 16
name 던전_03자연굴_타입 Enterol_D302_AnD.tga Enterol_Dungeon_03AntCavern_Shadow.tga 16
name 던전_05하수도_타입 Enterol_D304_Woo.tga Enterol_Dungeon_05Underground_Shadow.tga 16
name 던전_06연구소_타입 Enterol_D305_La.tga Enterol_Dungeon_06Laboratory_Shadow.tga 16

name 필드_01벨슈로트사막 Enterol_Field_01Bel.tga Enterol_Town_01Bellsyurot_Shadow.tga16
name 필드_01벨슈로트사막_107 Enterol_Field_01Bel2.tga Enterol_Town_01Bellsyurot_Shadow.tga16
name 필드_02새들의낙원 Enterol_Field_02Bp.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
